Trial	CURRENT_FIX_INTEREST_AREA_ID	Surprisal
7	1	1.038562
7	2	0.863249
7	3	0.62429
7	4	0.171334
7	5	0.585859
7	6	1.02303
7	7	0.5773525
7	8	1.1875
7	9	0.985268
7	10	0.840802
7	11	4.02898
7	12	1.31075
7	13	0.535978
7	14	1.02839
7	15	0.795176
7	16	0.684014
7	17	0.171334
7	18	2.3685
7	19	0.70063
7	20	1.22264
7	21	2.67639
7	22	0.748169
7	23	0.353276
7	24	0.585241
7	25	0.29027
7	26	0.53887
7	27	0.48011
7	28	2.08728
7	29	0.544218
7	30	0.9925985
7	31	1.1875
7	32	1.0574375
7	33	1.18274
7	34	1.416595
7	35	0.848971
7	36	0.965028
7	37	0.748229
7	38	0.703711
7	39	0.283467
7	40	0.53887
7	41	1.088201
7	42	1.24777
7	43	1.4731
7	44	0.929817
7	45	1.62568
7	46	1.74719
7	47	0.879408
7	48	1.42175
7	49	0.564296
7	50	0.39368
7	51	0.7113065
7	52	1.1875
7	53	0.579525
7	54	1.53535
7	55	0.598688
7	56	2.69914
7	57	0.0707044
7	58	0.765481
7	59	0.527226
7	60	1.1875
7	61	0.579525
7	62	1.53535
7	63	2.23549
7	64	0.896564
7	65	0.353276
7	66	0.896143
7	67	1.211455
7	68	1.1875
7	69	0.889624
7	70	3.81292
7	71	1.31075
7	72	0.174381
7	73	0.585859
7	74	1.576165
7	75	1.1875
7	76	0.579525
7	77	0.703711
7	78	0.283467
7	79	0.936116
7	80	1.57747
7	81	0.326749
7	82	1.34299
7	83	1.32309
7	84	1.240688
7	85	0.932016
7	86	1.06752
7	87	1.4362
7	88	0.929817
7	89	0.811007
7	90	1.29029
7	91	0.931863
7	92	1.53535
7	93	1.91565
7	94	1.16142
7	95	0.871451
7	96	0.424223
7	97	2.14521
7	98	1.00442
7	99	1.350942
7	100	1.315365
8	1	1.1875
8	2	0.579525
8	3	0.811007
8	4	0.473952
8	5	0.639772
8	6	0.171334
8	7	0.585859
8	8	0.955416
8	9	0.702393
8	10	0.955416
8	11	2.12068
8	12	1.941585
8	13	1.1875
8	14	0.579525
8	15	0.703711
8	16	0.685715
8	17	0.171334
8	18	0.585859
8	19	0.48011
8	20	0.639772
8	21	0.5344545
8	22	1.50958
8	23	0.990983
8	24	0.48475
8	25	0.639772
8	26	1.94557
8	27	1.8171
8	28	0.820294
8	29	0.8975955
8	30	1.1875
8	31	0.579525
8	32	1.54968
8	33	0.649963
8	34	1.3546
8	35	0.8950135
8	36	1.12888
8	37	0.596302
8	38	0.639772
8	39	0.171334
8	40	0.902282
8	41	1.86515
8	42	0.767869
8	43	2.49305
8	44	4.81321
8	45	1.927755
8	46	1.1875
8	47	0.579525
8	48	0.703711
8	49	0.283467
8	50	1.57145
8	51	4.19905
8	52	0.950637
8	53	1.82744
8	54	1.586525
8	55	1.1875
8	56	0.8747775
8	57	0.830191
8	58	0.393975
8	59	1.61734
8	60	1.264135
8	61	1.24777
8	62	1.4731
8	63	0.929817
8	64	1.22264
8	65	1.28275
8	66	0.422455
8	67	0.349913
8	68	0.936116
8	69	2.12625
8	70	1.32661
8	71	0.693787
8	72	0.342157
8	73	0.53887
8	74	0.48011
8	75	0.639772
8	76	1.09477
8	77	0.256804
8	78	0.585859
8	79	0.955416
8	80	1.82961
8	81	1.06893
8	82	0.965028
8	83	0.748229
8	84	1.62568
8	85	0.564296
8	86	1.49498
8	87	1.55238
8	88	1.437935
8	89	0.998785
8	90	1.15122
8	91	3.63669
8	92	0.9206625
8	93	2.21273
8	94	1.39515
8	95	0.336476
8	96	0.20714
8	97	1.29348
8	98	0.508557
8	99	0.955416
8	100	0.702393
8	101	1.576165
9	1	2.21273
